Wed 12 Apr 2023 10:52:23 INFO Epoch: 34 | Pretrain Loss: 62073.3238 | Regression Loss: 16468.1000 | Ranking Loss: 45605.2232 | Regression IC50 Loss: 37965.3819 | Regression K Loss: 16928.2847 | Ranking IC50 Loss: 33707.2134 | Ranking K Loss: 11898.0098 | Lr: 0.0010 | Time: 917.7793
Wed 12 Apr 2023 11:07:42 INFO Epoch: 35 | Pretrain Loss: 62058.4472 | Regression Loss: 16570.4346 | Ranking Loss: 45488.0120 | Regression IC50 Loss: 38812.2175 | Regression K Loss: 16422.5644 | Ranking IC50 Loss: 33714.2472 | Ranking K Loss: 11773.7647 | Lr: 0.0010 | Time: 919.4553
Wed 12 Apr 2023 11:22:51 INFO Epoch: 36 | Pretrain Loss: 61810.0187 | Regression Loss: 16351.4247 | Ranking Loss: 45458.5935 | Regression IC50 Loss: 38018.6293 | Regression K Loss: 16486.1195 | Ranking IC50 Loss: 33568.9552 | Ranking K Loss: 11889.6382 | Lr: 0.0010 | Time: 908.0456
Wed 12 Apr 2023 11:38:10 INFO Epoch: 37 | Pretrain Loss: 61334.4907 | Regression Loss: 16221.1729 | Ranking Loss: 45113.3171 | Regression IC50 Loss: 37782.8349 | Regression K Loss: 16287.7414 | Ranking IC50 Loss: 33487.6177 | Ranking K Loss: 11625.6994 | Lr: 0.0010 | Time: 919.2869
Wed 12 Apr 2023 11:53:35 INFO Epoch: 38 | Pretrain Loss: 60984.7203 | Regression Loss: 16023.4017 | Ranking Loss: 44961.3180 | Regression IC50 Loss: 37229.2842 | Regression K Loss: 16182.0549 | Ranking IC50 Loss: 33262.3207 | Ranking K Loss: 11698.9972 | Lr: 0.0010 | Time: 925.3437
Wed 12 Apr 2023 12:09:09 INFO Epoch: 39 | Pretrain Loss: 61225.1742 | Regression Loss: 16221.7632 | Ranking Loss: 45003.4104 | Regression IC50 Loss: 37217.9242 | Regression K Loss: 16854.6199 | Ranking IC50 Loss: 33203.8387 | Ranking K Loss: 11799.5717 | Lr: 0.0010 | Time: 933.5963
Wed 12 Apr 2023 12:25:52 INFO Epoch: 40 | Pretrain Loss: 60584.1206 | Regression Loss: 15788.8382 | Ranking Loss: 44795.2818 | Regression IC50 Loss: 36916.9043 | Regression K Loss: 15712.5563 | Ranking IC50 Loss: 33128.0279 | Ranking K Loss: 11667.2539 | Lr: 0.0010 | Time: 1002.5499
Wed 12 Apr 2023 12:43:46 INFO Epoch: 41 | Pretrain Loss: 60787.7585 | Regression Loss: 15972.1792 | Ranking Loss: 44815.5786 | Regression IC50 Loss: 36949.2972 | Regression K Loss: 16291.3003 | Ranking IC50 Loss: 33259.4478 | Ranking K Loss: 11556.1308 | Lr: 0.0010 | Time: 1074.0743
Wed 12 Apr 2023 12:59:31 INFO Epoch: 42 | Pretrain Loss: 60448.7507 | Regression Loss: 15758.9665 | Ranking Loss: 44689.7836 | Regression IC50 Loss: 36570.0832 | Regression K Loss: 15959.8053 | Ranking IC50 Loss: 33201.9390 | Ranking K Loss: 11487.8446 | Lr: 0.0010 | Time: 944.3153
Wed 12 Apr 2023 13:14:57 INFO Epoch: 43 | Pretrain Loss: 59635.2722 | Regression Loss: 15223.5313 | Ranking Loss: 44411.7404 | Regression IC50 Loss: 35968.5938 | Regression K Loss: 14776.5106 | Ranking IC50 Loss: 33046.2837 | Ranking K Loss: 11365.4566 | Lr: 0.0010 | Time: 926.0406
Wed 12 Apr 2023 13:30:38 INFO Epoch: 44 | Pretrain Loss: 60005.6863 | Regression Loss: 15622.4180 | Ranking Loss: 44383.2677 | Regression IC50 Loss: 36558.5258 | Regression K Loss: 15516.2008 | Ranking IC50 Loss: 32782.4694 | Ranking K Loss: 11600.7982 | Lr: 0.0010 | Time: 940.9004
Wed 12 Apr 2023 13:46:01 INFO Epoch: 45 | Pretrain Loss: 59781.5424 | Regression Loss: 15430.3444 | Ranking Loss: 44351.1973 | Regression IC50 Loss: 35621.0045 | Regression K Loss: 15813.4770 | Ranking IC50 Loss: 32841.2735 | Ranking K Loss: 11509.9238 | Lr: 0.0010 | Time: 922.7636
Wed 12 Apr 2023 14:01:16 INFO Epoch: 46 | Pretrain Loss: 59639.1003 | Regression Loss: 15430.3028 | Ranking Loss: 44208.7969 | Regression IC50 Loss: 36519.1318 | Regression K Loss: 14915.2109 | Ranking IC50 Loss: 32971.8827 | Ranking K Loss: 11236.9141 | Lr: 0.0010 | Time: 915.1725
Wed 12 Apr 2023 14:16:32 INFO Epoch: 47 | Pretrain Loss: 59367.4848 | Regression Loss: 15273.8884 | Ranking Loss: 44093.5958 | Regression IC50 Loss: 35674.8786 | Regression K Loss: 15238.0827 | Ranking IC50 Loss: 32693.2852 | Ranking K Loss: 11400.3106 | Lr: 0.0010 | Time: 915.4592
Wed 12 Apr 2023 14:31:54 INFO Epoch: 48 | Pretrain Loss: 59281.1301 | Regression Loss: 15204.3388 | Ranking Loss: 44076.7907 | Regression IC50 Loss: 35586.9106 | Regression K Loss: 15094.2187 | Ranking IC50 Loss: 32684.4670 | Ranking K Loss: 11392.3238 | Lr: 0.0010 | Time: 921.7940
Wed 12 Apr 2023 14:47:12 INFO Epoch: 49 | Pretrain Loss: 59179.0097 | Regression Loss: 15243.7146 | Ranking Loss: 43935.2945 | Regression IC50 Loss: 35070.6863 | Regression K Loss: 15741.6958 | Ranking IC50 Loss: 32716.8373 | Ranking K Loss: 11218.4573 | Lr: 0.0010 | Time: 917.9065
Wed 12 Apr 2023 15:02:35 INFO Epoch: 50 | Pretrain Loss: 58745.2713 | Regression Loss: 14868.7112 | Ranking Loss: 43876.5596 | Regression IC50 Loss: 34824.8524 | Regression K Loss: 14737.5182 | Ranking IC50 Loss: 32605.3498 | Ranking K Loss: 11271.2099 | Lr: 0.0010 | Time: 922.8359
Wed 12 Apr 2023 15:19:53 INFO Epoch: 51 | Pretrain Loss: 58654.5056 | Regression Loss: 14804.9228 | Ranking Loss: 43849.5822 | Regression IC50 Loss: 34672.7443 | Regression K Loss: 14676.9984 | Ranking IC50 Loss: 32596.5247 | Ranking K Loss: 11253.0574 | Lr: 0.0010 | Time: 1037.9302
Wed 12 Apr 2023 15:36:56 INFO Epoch: 52 | Pretrain Loss: 58641.9713 | Regression Loss: 14992.6372 | Ranking Loss: 43649.3335 | Regression IC50 Loss: 35154.2310 | Regression K Loss: 14821.2262 | Ranking IC50 Loss: 32391.3749 | Ranking K Loss: 11257.9586 | Lr: 0.0010 | Time: 1023.2836
Wed 12 Apr 2023 15:52:23 INFO Epoch: 53 | Pretrain Loss: 58040.2584 | Regression Loss: 14712.1412 | Ranking Loss: 43328.1165 | Regression IC50 Loss: 34697.5030 | Regression K Loss: 14342.9678 | Ranking IC50 Loss: 32038.2334 | Ranking K Loss: 11289.8831 | Lr: 0.0010 | Time: 927.0638
Wed 12 Apr 2023 16:07:45 INFO Epoch: 54 | Pretrain Loss: 57938.0847 | Regression Loss: 14772.4690 | Ranking Loss: 43165.6151 | Regression IC50 Loss: 34565.1979 | Regression K Loss: 14676.3654 | Ranking IC50 Loss: 31983.9644 | Ranking K Loss: 11181.6507 | Lr: 0.0010 | Time: 921.6831
Wed 12 Apr 2023 16:22:58 INFO Epoch: 55 | Pretrain Loss: 58211.1865 | Regression Loss: 14791.8916 | Ranking Loss: 43419.2943 | Regression IC50 Loss: 34453.0451 | Regression K Loss: 14853.2602 | Ranking IC50 Loss: 32200.5539 | Ranking K Loss: 11218.7404 | Lr: 0.0010 | Time: 912.8610
Wed 12 Apr 2023 16:38:10 INFO Epoch: 56 | Pretrain Loss: 57934.7826 | Regression Loss: 14634.1849 | Ranking Loss: 43300.5971 | Regression IC50 Loss: 33830.4652 | Regression K Loss: 14950.1513 | Ranking IC50 Loss: 32030.4987 | Ranking K Loss: 11270.0984 | Lr: 0.0010 | Time: 911.9264
Wed 12 Apr 2023 16:53:19 INFO Epoch: 57 | Pretrain Loss: 57892.1459 | Regression Loss: 14695.2916 | Ranking Loss: 43196.8538 | Regression IC50 Loss: 34094.0162 | Regression K Loss: 14890.2891 | Ranking IC50 Loss: 31925.7396 | Ranking K Loss: 11271.1142 | Lr: 0.0010 | Time: 909.0764
Wed 12 Apr 2023 17:09:00 INFO Epoch: 58 | Pretrain Loss: 57637.7997 | Regression Loss: 14446.1846 | Ranking Loss: 43191.6145 | Regression IC50 Loss: 33881.4555 | Regression K Loss: 14272.4934 | Ranking IC50 Loss: 32182.7604 | Ranking K Loss: 11008.8541 | Lr: 0.0010 | Time: 940.5722
